id,title,text,label
167,BREAKING: Celebrities caught in massive fraud scheme #7,The mainstream media refuses to cover this story. Share before it gets deleted.,1
464,SHOCKING: Government hiding cure for cancer from public #235,"Despite attempts to suppress this information, brave insiders are speaking out about the real agenda.",1
25,Federal Reserve raises interest rates by 25 basis points #461,The announcement follows months of deliberation among experts and stakeholders in the field.,0
444,Central bank governor speaks at annual economic summit #328,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
147,VIRAL: Scientists reveal moon landing was staged #222,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
319,Central bank governor speaks at annual economic summit #325,Data released by the relevant authority shows a consistent trend over the past five years.,0
405,University researchers develop new battery technology #486,The announcement follows months of deliberation among experts and stakeholders in the field.,0
409,BOMBSHELL: Election rigged by foreign powers confirmed #201,An anonymous whistleblower has come forward with documents proving the shocking truth behind this story.,1
220,Finance minister presents annual budget to legislature #382,"A spokesperson issued a statement clarifying the policy position, adding that further details would be released in due course.",0
367,Parliament passes new infrastructure spending bill #327,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
142,Scientists publish findings on deep-sea biodiversity #479,The announcement follows months of deliberation among experts and stakeholders in the field.,0
363,VIRAL: Scientists reveal moon landing was staged #61,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
198,REVEALED: Climate change data manipulated by globalists #152,An anonymous whistleblower has come forward with documents proving the shocking truth behind this story.,1
190,University researchers develop new battery technology #493,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
327,EXPOSED: Mainstream media lies about economy #242,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
339,UNBELIEVABLE: Secret vaccine ingredients finally revealed #95,The mainstream media refuses to cover this story. Share before it gets deleted.,1
71,Parliament passes new infrastructure spending bill #341,The announcement follows months of deliberation among experts and stakeholders in the field.,0
378,EXPOSED: Mainstream media lies about economy #62,Multiple sources confirm this explosive revelation that changes everything we thought we knew.,1
468,University researchers develop new battery technology #459,"The report, published in a peer-reviewed journal, outlines the methodology and findings from a three-year study.",0
398,EXPOSED: Mainstream media lies about economy #236,An anonymous whistleblower has come forward with documents proving the shocking truth behind this story.,1
332,ALERT: Banks planning to steal your savings this weekend #35,An anonymous whistleblower has come forward with documents proving the shocking truth behind this story.,1
255,University researchers develop new battery technology #416,"The report, published in a peer-reviewed journal, outlines the methodology and findings from a three-year study.",0
181,WARNING: New law will ban free speech next month #195,Multiple sources confirm this explosive revelation that changes everything we thought we knew.,1
228,Supreme Court rules on landmark privacy case #286,Data released by the relevant authority shows a consistent trend over the past five years.,0
149,Parliament passes new infrastructure spending bill #426,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
407,Central bank governor speaks at annual economic summit #350,Data released by the relevant authority shows a consistent trend over the past five years.,0
404,Central bank governor speaks at annual economic summit #488,Data released by the relevant authority shows a consistent trend over the past five years.,0
389,ALERT: Banks planning to steal your savings this weekend #40,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
14,Finance minister presents annual budget to legislature #371,"The report, published in a peer-reviewed journal, outlines the methodology and findings from a three-year study.",0
139,Health ministry confirms decline in seasonal flu cases #265,"The report, published in a peer-reviewed journal, outlines the methodology and findings from a three-year study.",0
53,Parliament passes new infrastructure spending bill #410,Data released by the relevant authority shows a consistent trend over the past five years.,0
114,Supreme Court rules on landmark privacy case #464,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
195,EXPOSED: Mainstream media lies about economy #248,"Despite attempts to suppress this information, brave insiders are speaking out about the real agenda.",1
308,BOMBSHELL: Election rigged by foreign powers confirmed #115,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
39,EXPOSED: Mainstream media lies about economy #63,Multiple sources confirm this explosive revelation that changes everything we thought we knew.,1
121,UNBELIEVABLE: Secret vaccine ingredients finally revealed #176,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
133,Federal Reserve raises interest rates by 25 basis points #271,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
57,REVEALED: Climate change data manipulated by globalists #18,An anonymous whistleblower has come forward with documents proving the shocking truth behind this story.,1
278,Federal Reserve raises interest rates by 25 basis points #284,Officials confirmed the decision following a meeting of the relevant committee. The measure is expected to take effect next quarter.,0
230,ALERT: Banks planning to steal your savings this weekend #111,Sources close to the matter confirm what many have suspected for years. The establishment does not want you to know this information.,1
